# time a_r temp
0.00000 0.16616 53.00000
0.01786 0.16460 53.48492
0.03571 0.19782 53.95972
0.05357 0.24194 54.42459
0.07143 0.27417 54.87975
0.08929 0.29221 55.32540
0.10714 0.31042 55.76174
0.12500 0.32927 56.18896
0.14286 0.34415 56.60726
0.16071 0.35599 57.01682
0.17857 0.36555 57.41782
0.19643 0.37293 57.81045
0.21429 0.37904 58.19487
0.23214 0.38434 58.57125
0.25000 0.38774 58.93978
0.26786 0.39002 59.30060
0.28571 0.39440 59.65389
0.30357 0.39954 59.99980
0.32143 0.40170 60.33848
0.33929 0.40324 60.67008
0.35714 0.40690 60.99475
0.37500 0.41166 61.31264
0.39286 0.41605 61.62389
0.41071 0.41895 61.92864
0.42857 0.42150 62.22702
0.44643 0.42423 62.51917
0.46429 0.42599 62.80521
0.48214 0.42708 63.08527
0.50000 0.42874 63.35949
0.51786 0.42975 63.62797
0.53571 0.42953 63.89085
0.55357 0.43156 64.14823
0.57143 0.43589 64.40024
0.58929 0.44029 64.64698
0.60714 0.44312 64.88857
0.62500 0.44350 65.12510
0.64286 0.44355 65.35670
0.66071 0.44502 65.58346
0.67857 0.44749 65.80548
0.69643 0.44996 66.02286
0.71429 0.45156 66.23570
0.73214 0.45329 66.44409
0.75000 0.45582 66.64813
0.76786 0.45841 66.84791
0.78571 0.45950 67.04351
0.80357 0.45749 67.23503
0.82143 0.45487 67.42254
0.83929 0.45462 67.60614
0.85714 0.45536 67.78590
0.87500 0.45588 67.96190
0.89286 0.45616 68.13423
0.91071 0.45623 68.30296
0.92857 0.45615 68.46816
0.94643 0.45595 68.62991
0.96429 0.45567 68.78828
0.98214 0.45534 68.94335
1.00000 0.45502 69.09517
1.01786 0.45472 69.24382
1.03571 0.45446 69.38937
1.05357 0.45424 69.53187
1.07143 0.45405 69.67140
1.08929 0.45389 69.80801
1.10714 0.45376 69.94177
1.12500 0.45366 70.07273
1.14286 0.45359 70.20096
1.16071 0.45354 70.32650
1.17857 0.45352 70.44943
1.19643 0.45351 70.56978
1.21429 0.45353 70.68763
1.23214 0.45356 70.80301
1.25000 0.45361 57.14744
1.26786 0.45367 56.96801
1.28571 0.45374 56.79634
1.30357 0.45383 56.63210
1.32143 0.45393 56.47497
1.33929 0.45403 56.32463
1.35714 0.45414 56.18080
1.37500 0.45425 56.04318
1.39286 0.45437 55.91153
1.41071 0.45448 55.78557
1.42857 0.45460 55.66506
1.44643 0.45471 55.54976
1.46429 0.45482 55.43945
1.48214 0.45492 55.33391
1.50000 0.45502 55.23294
1.51786 0.45510 55.13634
1.53571 0.45518 55.04391
1.55357 0.45524 54.95549
1.57143 0.45530 54.87089
1.58929 0.45535 54.78995
1.60714 0.45539 54.71251
1.62500 0.45543 54.63842
1.64286 0.45545 54.56754
1.66071 0.45547 54.49972
1.67857 0.45549 54.43484
1.69643 0.45550 54.37276
1.71429 0.45550 54.31337
1.73214 0.45549 54.25655
1.75000 0.45549 54.20219
1.76786 0.45547 54.15018
1.78571 0.45545 54.10042
1.80357 0.45543 54.05281
1.82143 0.45541 54.00727
1.83929 0.45538 53.96369
1.85714 0.45534 53.92200
1.87500 0.45531 53.88211
1.89286 0.45527 53.84395
1.91071 0.45523 53.80743
1.92857 0.45519 53.77250
1.94643 0.45515 53.73908
1.96429 0.45510 53.70711
1.98214 0.45506 53.67652
2.00000 0.45502 53.64725
2.01786 0.45497 53.61925
2.03571 0.45493 53.59246
2.05357 0.45488 53.56682
2.07143 0.45484 53.54230
2.08929 0.45480 53.51884
2.10714 0.45476 53.49639
2.12500 0.45472 53.47492
2.14286 0.45469 53.45437
2.16071 0.45465 53.43471
2.17857 0.45463 53.41591
2.19643 0.45460 53.39791
2.21429 0.45458 53.38070
2.23214 0.45456 53.36423
2.25000 0.45455 53.34847
2.26786 0.45454 53.33340
2.28571 0.45453 53.31897
2.30357 0.45454 53.30517
2.32143 0.45454 53.29197
2.33929 0.45456 53.27934
2.35714 0.45458 53.26725
2.37500 0.45460 53.25569
2.39286 0.45464 53.24463
2.41071 0.45468 53.23405
2.42857 0.45473 53.22392
2.44643 0.45479 53.21423
2.46429 0.45486 53.20496
2.48214 0.45493 53.19610
2.49000 0.45502 53.18761
2.50000 0.45502 53.18761
